InterfaceID,DateHour,AvgTotalBytes,AvgTotalPackets,AvgAveragebps,AvgOutPercentUtil,AvgInPercentUtil,AvgPercentUtil,MinTotalBytes,MinTotalPackets,MinAveragebps,MinOutPercentUtil,MinInPercentUtil,MinPercentUtil,MaxTotalBytes,MaxTotalPackets,MaxAveragebps,MaxOutPercentUtil,MaxInPercentUtil,MaxPercentUtil,NextHourAlert
8156,10/12/2018 1:00:00 PM,461163296,518320,488071.15625,0.09387053125,0.003743700390625,0.0488071158203125,461163300,518320,488071.2,0.09387053,0.0037437,0.04880711,461163300,518320,488071.2,0.09387053,0.0037437,0.04880711,0
9049,10/26/2018 7:00:00 AM,572605056,470776,605924.25,6.0592425,6.0592425,6.0592425,572605100,470776,605924.3,6.059243,6.059243,6.059243,572605100,470776,605924.3,6.059243,6.059243,6.059243,0
9045,10/25/2018 8:00:00 AM,201775056,417250,213515.78125,2.1351578125,2.1351578125,2.1351578125,201775100,417250,213515.8,2.135158,2.135158,2.135158,201775100,417250,213515.8,2.135158,2.135158,2.135158,0
9369,10/27/2018 2:00:00 AM,1801737728,3242892,1906565,19.06601625,19.065285,19.065650625,1801738000,3242892,1906565,19.06602,19.06528,19.06565,1801738000,3242892,1906565,19.06602,19.06528,19.06565,1
9369,10/29/2018 4:00:00 AM,1804602112,3960654,2870197.5,28.8587425,28.5452075,28.701975,1804602000,3960654,2870198,28.85874,28.54521,28.70197,1804602000,3960654,2870198,28.85874,28.54521,28.70197,0
9408,10/26/2018 8:00:00 PM,2911373312,2351200,3594288.75,35.9428875,35.9428875,35.9428875,2911373000,2351200,3594289,35.94289,35.94289,35.94289,2911373000,2351200,3594289,35.94289,35.94289,35.94289,0
9049,10/13/2018 4:00:00 AM,45485996,228380,56154.89453125,0.5615489453125,0.5615489453125,0.5615489453125,45486000,228380,56154.89,0.5615489,0.5615489,0.5615489,45486000,228380,56154.89,0.5615489,0.5615489,0.5615489,0
7276,10/13/2018 1:00:00 PM,220689186816,172240896,272451904,54.0500864,0.4402952,27.2451908,220689200000,172240900,272451900,54.05009,0.4402952,27.24519,220689200000,172240900,272451900,54.05009,0.4402952,27.24519,0
8069,10/13/2018 1:00:00 PM,400018624,419174,423286.84375,0.08044403125,0.004213339453125,0.0423286853515625,400018600,419174,423286.8,0.08044403,0.00421334,0.04232869,400018600,419174,423286.8,0.08044403,0.00421334,0.04232869,0
9369,10/20/2018 4:00:00 PM,2598409472,1407644,2749594.5,27.495945,27.495945,27.495945,2598409000,1407644,2749595,27.49594,27.49594,27.49594,2598409000,1407644,2749595,27.49594,27.49594,27.49594,1
9045,10/26/2018 5:00:00 PM,2280707072,1081940,2412256.75,24.1225675,24.1225675,24.1225675,2280707000,1081940,2412257,24.12257,24.12257,24.12257,2280707000,1081940,2412257,24.12257,24.12257,24.12257,0
9369,10/22/2018 5:00:00 AM,4080175104,2998836,4317592,43.17592,43.17592,43.17592,4080175000,2998836,4317592,43.17592,43.17592,43.17592,4080175000,2998836,4317592,43.17592,43.17592,43.17592,0
8156,10/26/2018 12:00:00 AM,453351104,487911,559450.5625,0.10749985,0.004390266015625,0.0559450580078125,453351100,487911,559450.6,0.1074999,0.004390266,0.05594506,453351100,487911,559450.6,0.1074999,0.004390266,0.05594506,0
9408,10/20/2018 6:00:00 AM,1416439808,3578428,1498866.25,14.9886625,14.9886625,14.9886625,1416440000,3578428,1498866,14.98866,14.98866,14.98866,1416440000,3578428,1498866,14.98866,14.98866,14.98866,1
7276,10/14/2018 3:00:00 PM,27901548,116406,29524.92578125,0.00374780859375,0.0021571763671875,0.00295249248046875,27901550,116406,29524.93,0.003747809,0.002157176,0.002952493,27901550,116406,29524.93,0.003747809,0.002157176,0.002952493,0
8149,10/26/2018 4:00:00 PM,3141291776,7830252,3329922.25,0.322700675,0.343283775,0.332992225,3141292000,7830252,3329922,0.3227007,0.3432838,0.3329922,3141292000,7830252,3329922,0.3227007,0.3432838,0.3329922,0
9049,10/11/2018 6:00:00 AM,52057232,263166,55086.546875,0.55086546875,0.55086546875,0.55086546875,52057230,263166,55086.55,0.5508655,0.5508655,0.5508655,52057230,263166,55086.55,0.5508655,0.5508655,0.5508655,0
9045,10/17/2018 3:00:00 PM,165075744,146286,611379.125,6.11379125,6.11379125,6.11379125,165075700,146286,611379.1,6.113791,6.113791,6.113791,165075700,146286,611379.1,6.113791,6.113791,6.113791,0
7276,10/19/2018 10:00:00 AM,2678267648,2308257,3280415.5,0.6420456,0.0140375140625,0.32804155703125,2678268000,2308257,3280416,0.6420456,0.01403751,0.3280416,2678268000,2308257,3280416,0.6420456,0.01403751,0.3280416,0
9408,10/16/2018 5:00:00 AM,1614785408,2945268,1708793.5,17.087935,17.087935,17.087935,1614785000,2945268,1708794,17.08793,17.08793,17.08793,1614785000,2945268,1708794,17.08793,17.08793,17.08793,0
9404,10/1/2018 6:00:00 AM,2460965120,73549184,218490.890625,2.18490890625,2.18490890625,2.18490890625,2460965000,73549180,218490.9,2.184909,2.184909,2.184909,2460965000,73549180,218490.9,2.184909,2.184909,2.184909,0
